Title,Category
Greenwich,Food
bought milk tea from GrabFood,Food
paid Mang Inasal milk tea,Food
monthly McDo payment,Food
Mang Inasal,Food
adobo at GrabFood,Food
paid Greenwich coffee,Food
McDo expense,Food
paid McDo dinner,Food
McDonald's expense,Food
Chowking today,Food
merienda at Mang Inasal,Food
adobo,Food
paid Puregold sinigang,Food
Chowking,Food
ulam in davao,Food
sinigang in davao,Food
milk tea in davao,Food
breakfast at SM Supermarket,Food
McDo,Food
lunch,Food
grocery in davao,Food
lunch,Food
adobo,Food
dinner,Food
monthly Jollibee payment,Food
Puregold,Food
merienda in davao,Food
adobo at Jollibee,Food
McDonald's today,Food
milk tea in davao,Food
Jollibee,Food
Mang Inasal today,Food
monthly SM Supermarket payment,Food
McDonald's,Food
ulam in davao,Food
GrabFood expense,Food
SM Supermarket today,Food
bought ulam from Jollibee,Food
monthly GrabFood payment,Food
Puregold,Food
paid GrabFood burger meal,Food
McDonald's breakfast,Food
monthly Jollibee payment,Food
Jollibee today,Food
coffee,Food
bought pizza from McDonald's,Food
adobo at SM Supermarket,Food
paid Starbucks grocery,Food
paid McDonald's ulam,Food
breakfast,Food
chicken meal in davao,Food
SM Supermarket expense,Food
GrabFood today,Food
adobo,Food
sinigang,Food
monthly Starbucks payment,Food
paid Puregold adobo,Food
Greenwich today,Food
Greenwich,Food
Greenwich,Food
monthly McDonald's payment,Food
Jollibee today,Food
milk tea at Foodpanda,Food
bought chicken meal from Foodpanda,Food
GrabFood,Food
Jollibee burger meal,Food
SM Supermarket today,Food
McDo expense,Food
McDonald's today,Food
coffee at Bo's Coffee,Food
dinner at Mang Inasal,Food
monthly Puregold payment,Food
Bo's Coffee burger meal,Food
Starbucks,Food
Greenwich expense,Food
McDonald's today,Food
monthly Foodpanda payment,Food
KFC today,Food
burger meal,Food
McDonald's expense,Food
Mang Inasal today,Food
chicken meal in davao,Food
McDo expense,Food
grocery at Starbucks,Food
SM Supermarket today,Food
McDo,Food
paid Greenwich sinigang,Food
Chowking grocery,Food
Mang Inasal today,Food
sinigang,Food
Savemore expense,Food
SM Supermarket,Food
Foodpanda,Food
Puregold,Food
McDonald's,Food
paid Starbucks breakfast,Food
monthly Mang Inasal payment,Food
Greenwich today,Food
Starbucks expense,Food
Foodpanda expense,Food
grocery at Jollibee,Food
Mang Inasal today,Food
adobo,Food
dinner at Foodpanda,Food
bought adobo from Foodpanda,Food
KFC,Food
Puregold coffee,Food
paid KFC milk tea,Food
bought dinner from GrabFood,Food
Chowking today,Food
Savemore lunch,Food
adobo at Foodpanda,Food
monthly Jollibee payment,Food
merienda,Food
